Entity,Year,Number of reported natural disasters (reported disasters)
Flood,1979,34
Flood,1980,39
Flood,1981,43
Flood,1982,48
Flood,1983,49
Flood,1984,47
Flood,1985,58
Flood,1986,50
Flood,1987,68
Flood,1988,76
Flood,1989,46
Flood,1990,60
Flood,1991,77
Flood,1992,59
Flood,1993,84
Flood,1994,88
Flood,1995,94
Flood,1996,92
Flood,1997,95
Flood,1998,94
Flood,1999,122
Flood,2000,157
Flood,2001,157
Flood,2002,172
Flood,2003,158
Flood,2004,128
Flood,2005,193
Flood,2006,226
Flood,2007,218
Flood,2008,165
Flood,2009,151
Flood,2010,184
Flood,2011,156
Flood,2012,136
Flood,2013,149
Flood,2014,135
Flood,2015,160
Flood,2016,161
Flood,2017,114
Flood,2018,109
Wildfire,1918,1
Wildfire,1922,1
Wildfire,1947,1
Wildfire,1965,1
Wildfire,1967,2
Wildfire,1968,3
Wildfire,1970,3
Wildfire,1977,2
Wildfire,1979,4
Wildfire,1980,4
Wildfire,1983,12
Wildfire,1984,7
Wildfire,1985,13
Wildfire,1987,8
Wildfire,1989,3
Wildfire,1990,4
Wildfire,1991,8
Wildfire,1992,8
Wildfire,1993,2
Wildfire,1994,13
Wildfire,1995,7
Wildfire,1996,5
Wildfire,1997,16
Wildfire,1998,18
Wildfire,1999,22
Wildfire,2000,30
Wildfire,2001,14
Wildfire,2002,22
Wildfire,2003,14
Wildfire,2004,8
Wildfire,2005,13
Wildfire,2006,9
Wildfire,2007,18
Wildfire,2008,5
Wildfire,2009,9
Wildfire,2010,7
Wildfire,2011,8
Wildfire,2012,6
Wildfire,2013,10
Wildfire,2014,4
Wildfire,2015,12
Wildfire,2016,10
Wildfire,2017,13
Wildfire,2018,10
